DOIs,Files,problem,status,Table_topic,title,abstract,Material,Tensile_name,Tensile_value,Tensile_unit,Yield_name,Yield_value,Yield_unit,Elongation_name,Elongation_value,Elongation_unit,H,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Y,Zr,Nb,Mo,Sn,Sb,La,Ce,Ta,W,Pb,Bi,Other_ele,Text_addition,Text,actions,source_entry,cluster_number,cluster_label,cluster_number_0_to_11
,,,1,Steel database with labelled clusters,,,AISI 8620H Steel,Ultimate tensile strength,600.0,MPa,Yield strength,360.0,MPa,Ductility,27.0,%,0.0,0.0,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.5,0.7749999999999999,97.445,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Normalized, 50 mm (2 In.) Round","Normalized, 50 mm (2 In.) Round",724,9,Normalized – general-purpose steel (round normalized stock),9
,,,1,Steel database with labelled clusters,,,AISI 86B30H Steel,Ultimate tensile strength,620.0,MPa,Yield strength,550.0,MPa,Ductility,16.0,%,0.0,0.00175,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.0,0.5,0.8,97.34825,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Normalized,Normalized,787,2,Quenched (oil) – general-purpose steel (tested),2
,,,1,Steel database with labelled clusters,,,AISI 1050 Steel,Ultimate tensile strength,725.0,MPa,Yield strength,415.0,MPa,Ductility,20.0,%,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.75,98.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,As Rolled,As Rolled,1695,2,Quenched (oil) – general-purpose steel (tested),2
,,,1,Steel database with labelled clusters,,,AISI 8630 Steel,Ultimate tensile strength,640.0,MPa,Yield strength,425.0,MPa,Ductility,26.0,%,0.0,0.0,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.0,0.5,0.8,97.345,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Normalized, 50 mm (2 In.) Round","Normalized, 50 mm (2 In.) Round",949,9,Normalized – general-purpose steel (round normalized stock),9
,,,1,Steel database with labelled clusters,,,AISI 4820 Steel,Ultimate tensile strength,1170.0,MPa,Yield strength,869.0,MPa,Ductility,15.0,%,0.0,0.0,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.6,95.145,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Mock Carburized, Reheated To 800C (1470F), 150C (300F) Temper, 25 mm (1 In.) Round","Mock Carburized, Reheated To 800C (1470F), 150C (300F) Temper, 25 mm (1 In.) Round",410,8,Carburized – quenched (oil) – wear-resistant surface steel (variant),8
,,,1,Steel database with labelled clusters,,,AISI 4340 Steel,Ultimate tensile strength,1000.0,MPa,Yield strength,938.0,MPa,Ductility,20.0,%,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.0,0.8,0.7,95.725,0.0,1.825,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Oil Quenched 800C (1470F), 650C (1200F) Temper, 13 mm (0.5 In.) Round","Oil Quenched 800C (1470F), 650C (1200F) Temper, 13 mm (0.5 In.) Round",326,6,Quenched (oil) & tempered – high-strength structural steel,6
,,,1,Steel database with labelled clusters,,,AISI 1340 Steel,Ultimate tensile strength,910.0,MPa,Yield strength,565.0,MPa,Ductility,20.0,%,0.0,0.0,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.035,0.04,0.0,0.0,0.0,0.0,0.0,1.75,97.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Normalized At 870C (1600F), Air Cooled, 13 mm (0.5 In.) Round","Normalized At 870C (1600F), Air Cooled, 13 mm (0.5 In.) Round",1068,4,Normalized (air cooled) – general-purpose steel,4
,,,1,Steel database with labelled clusters,,,AISI E4340 H Steel,Ultimate tensile strength,924.0,MPa,Yield strength,786.0,MPa,Ductility,19.0,%,0.0,0.0,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.025,0.02,0.0,0.0,0.0,0.0,0.8,0.7749999999999999,95.725,0.0,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Oil Quenched 800C (1470F), 595C (1100F) Temper, 100 mm Round","Oil Quenched 800C (1470F), 595C (1100F) Temper, 100 mm Round",300,6,Quenched (oil) & tempered – high-strength structural steel,6
,,,1,Steel database with labelled clusters,,,ASTM A203 Low Alloy Steel,Ultimate tensile strength,450.0,MPa,Yield strength,255.0,MPa,Ductility,19.0,%,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.8,96.315,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Grade A,Grade A,1236,1,Hot rolled – general construction steel,1
,,,1,Steel database with labelled clusters,,,AISI E9310H Steel,Ultimate tensile strength,938.0,MPa,Yield strength,655.0,MPa,Ductility,19.0,%,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.0,0.05,0.0,0.0,0.0,0.0,1.225,0.55,94.485,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1149999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Mock Carburized, 790C (1450F) Reheat, 150C (300F) Temper, 100 mm (4 In.) Round","Mock Carburized, 790C (1450F) Reheat, 150C (300F) Temper, 100 mm (4 In.) Round",1108,8,Carburized – quenched (oil) – wear-resistant surface steel (variant),8
