DOIs,Files,problem,status,Table_topic,title,abstract,Material,Tensile_name,Tensile_value,Tensile_unit,Yield_name,Yield_value,Yield_unit,Elongation_name,Elongation_value,Elongation_unit,H,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Y,Zr,Nb,Mo,Sn,Sb,La,Ce,Ta,W,Pb,Bi,Other_ele,Text_addition,Text,actions,source_entry,cluster_number,cluster_label,cluster_number_0_to_11
,,,1,Steel database with labelled clusters,,,ASTM A724 Carbon Steel,Ultimate tensile strength,655.0,MPa,Yield strength,515.0,MPa,Ductility,17.0,%,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.04,0.04,0.0,0.0,0.0,0.08,0.25,1.3,96.91,0.0,0.25,0.35,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Grade B,Grade B,1411,1,Hot rolled – general construction steel,1
,,,1,Steel database with labelled clusters,,,AISI 4118H Steel,Ultimate tensile strength,951.0,MPa,Yield strength,617.0,MPa,Ductility,17.0,%,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.0,0.5,0.8,98.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1149999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Mock Carburized At 925C (1700F) For 8 Hours, Reheated To 830C (1525F), Oil Quenched, 150C (300F) Temper, 230C (450F) Temper, 14 mm (0.55 In.) Round","Mock Carburized At 925C (1700F) For 8 Hours, Reheated To 830C (1525F), Oil Quenched, 150C (300F) Temper, 230C (450F) Temper, 14 mm (0.55 In.) Round",230,8,Carburized – quenched (oil) – wear-resistant surface steel (variant),8
,,,1,Steel database with labelled clusters,,,AISI 4140 Steel,Ultimate tensile strength,1585.0,MPa,Yield strength,1345.0,MPa,Ductility,11.0,%,0.0,0.0,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.0,0.95,0.875,97.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Oil Quenched, 315C (600F) Temper, 25 mm (1 In.) Round","Oil Quenched, 315C (600F) Temper, 25 mm (1 In.) Round",38,6,Quenched (oil) & tempered – high-strength structural steel,6
,,,1,Steel database with labelled clusters,,,AISI 8622 Steel,Ultimate tensile strength,1204.0,MPa,Yield strength,805.0,MPa,Ductility,14.0,%,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.0,0.5,0.8,97.425,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Heat Treated, Machined To 25 mm (1 In.) Rounds, Pseudocarburized, 820C (1510F) Reheat, 150C (300F) Temper","Heat Treated, Machined To 25 mm (1 In.) Rounds, Pseudocarburized, 820C (1510F) Reheat, 150C (300F) Temper",750,0,Carburized – quenched (oil) – wear-resistant surface steel,0
,,,1,Steel database with labelled clusters,,,AISI Grade 18Ni (350) Maraging Steel,Ultimate tensile strength,2359.0,MPa,Yield strength,2320.0,MPa,Ductility,6.0,%,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.01,0.0,0.0,1.4,0.0,0.0,0.1,62.94,12.0,18.5,0.0,0.0,0.0,0.0,0.01,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Aged, At Rt, Tested Longitudinal, Round Bar 75 mm","Aged, At Rt, Tested Longitudinal, Round Bar 75 mm",1046,2,Quenched (oil) – general-purpose steel (tested),2
,,,1,Steel database with labelled clusters,,,ASTM A572 Steel,Ultimate tensile strength,520.0,MPa,Yield strength,415.0,MPa,Ductility,16.0,%,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.04,0.05,0.0,0.0,0.0,0.0,0.0,1.35,97.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Grade 60,Grade 60,1422,1,Hot rolled – general construction steel,1
,,,1,Steel database with labelled clusters,,,AISI 4820H Steel,Ultimate tensile strength,772.0,MPa,Yield strength,495.0,MPa,Ductility,26.0,%,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,95.15,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Normalized 860C (1580F), 13 mm (0.5 In.) Round","Normalized 860C (1580F), 13 mm (0.5 In.) Round",470,4,Normalized (air cooled) – general-purpose steel,4
,,,1,Steel database with labelled clusters,,,AISI 1050 Steel,Ultimate tensile strength,893.0,MPa,Yield strength,580.0,MPa,Ductility,20.0,%,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.75,98.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Water Quenched From 830C (1525F), 540C (1000F) Temper, 50 mm (2 In.) Round","Water Quenched From 830C (1525F), 540C (1000F) Temper, 50 mm (2 In.) Round",1670,10,Quenched (water) & tempered – high-strength structural steel,10
,,,1,Steel database with labelled clusters,,,JIS S45C Steel,Ultimate tensile strength,569.0,MPa,Yield strength,343.0,MPa,Ductility,20.0,%,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.03,0.035,0.0,0.0,0.0,0.0,0.2,0.75,97.785,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Normalized,Normalized,1958,2,Quenched (oil) – general-purpose steel (tested),2
,,,1,Steel database with labelled clusters,,,AISI 6150H Steel,Ultimate tensile strength,670.0,MPa,Yield strength,415.0,MPa,Ductility,23.0,%,0.0,0.0,0.505,0.0,0.0,0.0,0.0,0.0,0.0,0.2249999999999999,0.035,0.04,0.0,0.0,0.0,0.15,0.975,0.8,97.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Annealed, 25 mm (1 In.) Round","Annealed, 25 mm (1 In.) Round",688,3,Normalized – easy-to-machine stock (cold drawn),3
