alloy_name,Text,Co,Cr,Ni,Al,Ti,Ta,B,C,Cu,Fe,Hf,Mn,Mo,Nb,V,W,Zr,RT_YS,RT_UTS,RT_EL,HT_YS,HT_UTS,HT_EL
3J22G,This C0.108 Mo3.48 W3.72 Fe15.76 high-entropy alloy with unknown phase structure was heat treated at 锻态+冷轧1.0mm+时效425°C×4h(另一组) and tested at room temperature degrees Celsius.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.0,15.76,0.0,0.0,3.48,0.0,0.0,3.72,0.0,994.0,996.0,3.0,,,
3J22G,This C0.108 Mo3.48 W3.72 Fe15.76 high-entropy alloy with unknown phase structure was heat treated at 锻态+冷轧0.4mm+固溶1160°C×1h+时效425°C×4h and tested at room temperature degrees Celsius.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.0,15.76,0.0,0.0,3.48,0.0,0.0,3.72,0.0,1514.0,1520.0,0.24,,,
3J22G,This C0.108 Mo3.48 W3.72 Fe15.76 high-entropy alloy with unknown phase structure was heat treated at 锻态+冷轧0.4mm+固溶1160°C×1h+时效425°C×4h(另一组) and tested at room temperature degrees Celsius.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.0,15.76,0.0,0.0,3.48,0.0,0.0,3.72,0.0,1628.0,1662.0,0.32,,,
Al0.3CoCrFeNi,This Co24.2-Cr24.2-Ni24.2-Al7.2-Fe24.25 high-entropy alloy with FCC+ordered L1-2 intermetallic precipitates was heat treated at as-cast and tested at room temperature degrees Celsius.,24.25,24.25,24.25,7.25,0.0,0.0,0.0,0.0,0.0,24.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,525.0,44.0,,,
Al0.5CoCrCu0.5FeNi2,This Co20.0-Cr20.0-Ni40.0-Al10.0-Cu10 Fe20 high-entropy alloy with FCC+ordered L1-2 intermetallic precipitates was heat treated at as-cast and tested at 500 degrees Celsius.,20.0,20.0,40.0,10.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,489.0,39.0,215.0,248.0,6.0
Al0.5CoCrCuFeNi,This Co20.0-Cr20.0-Ni20.0-Al10.0-Cu10 Fe20 high-entropy alloy with FCC+ordered L1-2 intermetallic precipitates was heat treated at as-cast and tested at room temperature degrees Celsius.,20.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,707.0,19.0,,,
Al0.5CoCrCuFeNi_HT,This Co20.0-Cr20.0-Ni20.0-Al10.0-Cu10 Fe20 high-entropy alloy with FCC+FCC was heat treated at HT+cold rolling and tested at 300 degrees Celsius.,20.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,790.0,25.0,460.0,600.0,6.0
Al0.5CoCrCuFeNi_HT,This Co20.0-Cr20.0-Ni20.0-Al10.0-Cu10 Fe20 high-entropy alloy with FCC+FCC was heat treated at HT+cold rolling and tested at 400 degrees Celsius.,20.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,790.0,25.0,500.0,590.0,4.0
Al0.5CoCrCuFeNi_HT,This Co20.0-Cr20.0-Ni20.0-Al10.0-Cu10 Fe20 high-entropy alloy with FCC+FCC was heat treated at HT+cold rolling and tested at 500 degrees Celsius.,20.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,790.0,25.0,430.0,450.0,2.0
Al0.5CoCrCuFeNi_HT,This Co20.0-Cr20.0-Ni20.0-Al10.0-Cu10 Fe20 high-entropy alloy with FCC+FCC was heat treated at HT+cold rolling and tested at 600 degrees Celsius.,20.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,790.0,25.0,270.0,310.0,3.0
Al0.5CoCrCuFeNi_HT,This Co20.0-Cr20.0-Ni20.0-Al10.0-Cu10 Fe20 high-entropy alloy with FCC+FCC was heat treated at HT+cold rolling and tested at 700 degrees Celsius.,20.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,790.0,25.0,170.0,190.0,13.0
CoCrFeMnNi,This Co20.0-Cr20.0-Ni20.0-Fe20 Mn20 high-entropy alloy with FCC was heat treated at Cold rolling+annealing and tested at 400 degrees Celsius.,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,362.0,651.0,51.0,267.0,493.0,32.0
