seed,stopped_epoch,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,gap
42,123,-0.0019,549.8492,418.6854,0.0926,268.7185,232.1053,-0.0945
43,104,-0.8156,685.3813,480.6483,-0.0054,274.4004,190.0167,-0.8102
44,300,0.1787,425.5536,324.2595,0.1323,575.3297,447.2947,0.0464
45,300,0.2374,392.8732,287.2632,-0.1601,636.2094,479.8,0.3975
46,300,0.2049,417.2995,332.8632,0.0977,590.1274,415.2492,0.1072
