seed,stopped_epoch,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,gap
42,300,0.4045,234.9782,193.4166,0.3108,348.8902,242.6278,0.0937
43,79,-0.2157,364.1112,279.6241,0.0246,298.7736,294.1238,-0.2403
44,300,0.4576,219.5024,178.1146,0.0239,406.3218,311.0267,0.4337
45,74,-0.3067,393.0955,318.4583,0.041,212.752,185.5613,-0.3477
46,300,0.2546,273.1389,205.5366,0.3417,311.7273,292.229,-0.0871
