seed,stopped_epoch,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,gap
42,300,0.2842,393.1861,308.242,0.3139,317.8389,281.1446,-0.0297
43,88,-0.1461,459.0838,388.6982,0.0259,495.0235,395.4517,-0.172
44,168,0.1753,411.9227,359.679,0.0103,421.8033,303.445,0.165
45,300,0.3354,361.4826,297.0991,0.2155,424.0434,307.1489,0.1199
46,90,-0.2159,482.5811,388.6606,0.0277,451.9926,411.9296,-0.2436
