seed,stopped_epoch,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,gap
42,300,0.3793,239.9014,196.5979,0.3077,349.6707,244.7605,0.0716
43,78,-0.2361,367.1502,282.6324,0.022,299.1693,294.0949,-0.2581
44,292,0.4391,223.2101,181.3398,0.037,403.5983,307.733,0.4021
45,73,-0.3537,400.1005,324.8269,0.0308,213.8772,186.0315,-0.3845
46,300,0.2541,273.2423,205.1226,0.3376,312.7031,292.7888,-0.0835
