seed,stopped_epoch,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,gap
42,300,0.2902,256.5452,212.1071,0.2274,369.3811,270.1974,0.0628
43,78,-0.2645,371.3436,286.1213,0.0124,300.6428,295.0317,-0.2769
44,180,0.2223,262.8306,221.9324,-0.0664,424.7059,321.595,0.2887
45,73,-0.3293,396.4895,322.0207,0.0216,214.8904,188.0905,-0.3509
46,300,0.1741,287.5122,218.6666,0.2408,334.7627,315.7145,-0.0667
