seed,stopped_epoch,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,gap
42,300,0.3445,259.5788,208.2555,0.3326,188.0498,152.1701,0.0119
43,300,0.381,206.5027,167.0591,0.0908,404.4053,336.1044,0.2902
44,300,0.2808,233.5109,178.7974,0.1314,359.1032,292.9111,0.1494
45,300,0.385,245.2705,186.682,0.3194,224.7569,209.7882,0.0656
46,127,-0.6148,384.2499,270.0796,0.133,203.5224,156.2979,-0.7478
