seed,stopped_epoch,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,gap
42,300,0.4009,359.7169,268.0279,0.4633,281.1227,236.8377,-0.0624
43,90,-0.1155,452.9219,381.8229,0.0284,494.3834,395.7026,-0.1439
44,300,0.3872,355.0632,289.0413,0.1792,384.1394,255.8908,0.208
45,300,0.4837,318.6095,241.3964,0.3168,395.7038,267.2822,0.1669
46,92,-0.1971,478.8359,384.5123,0.0497,446.8394,407.1757,-0.2468
