seed,stopped_epoch,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,gap
42,300,0.4405,347.6286,262.1604,0.4512,284.255,238.2909,-0.0107
43,90,-0.1021,450.1944,383.437,-0.0109,504.3017,407.7866,-0.0912
44,300,0.4089,348.7371,284.3538,0.2192,374.6522,253.1991,0.1897
45,300,0.51,310.4063,235.9055,0.3617,382.4821,263.3048,0.1483
46,90,-0.2018,479.7826,387.8864,0.0082,456.4998,414.8599,-0.21
